,song,group,lyrics,source
10,MANIAC,Stray Kids,"(Let's go) The smiles who are pretending to be the top of the top of the top are the same when the lock is released.Mind blown, the mind is always in the back up prototype inside the Freaky Monster.Warning  Maniac screws will be crazy and maniac ping will turn around like Maniac Frankenstein and laugh like Maniac, Maniac (haha) Maniac (OH) screw.Abnormal groups of Maniac, Maniac (We'Re Maniacs), like a doll seams that have been broken, HUH, eventually, this color is not comfortable, and this life it is ain't ""live"", it's ""Holding on"", and yeah.Smile No Fresh and LOCKET LOCKET is the same. Everybody's eyes can't be deceived by me.I think it's a right if the horses continue, I think it's a right.Smoke) Pinging will turn back (Thick AsFOG) Maniac abnormality is full of groups, Maniac, Maniac (We're Maniacs). The two eyes are lunatic, all the senses are standing, and every time it is wrapped up as it is packed, it will be revealed.(Maniac) Maniac Maniac, You Cannot Stop with this Feeling) Maniac (OH) Maniac (OH) Laughing as if you were missing a maniac (You can not stop the smoke) ping (thick as fog) Maniac perpendicularity ManiacWe'Re Maniacs)",0
11,Typa Girl,BLACKPINK,"Typa girl that'll make you wanna dream (that it's me) Typa girl that came straight off of the screen (screen, screen) Typa girl you wanna ice up, make me freeze (ha, ha) Typa girl you wanna wife up, sign the pre' I bring money to the table, not your dinner Both my body and my bank account, good figure Thinking 'bout me, but there's nothing to consider If I let you in my circle, you a winner Didn't know that you were cold 'til you felt my fire Heaven's gate just opened up, hearing choirs If you saying something else, you a liar 'Cause I'm that girl that drive you crazy, but you can't leave me alone Got you thinking, maybe I went supernatural Put you under spells or look into a crystal ball I'm not like these other girls at all I'm the typa girl that make you forget that you got a type Type that make you love me when the only thing you done is like- I'm that typa girl, I'm that typa girl I'm that typa girl, I'm that typa girl Like du-du-dun, du-ru-ru-run Like du-du-dun, du-ru-ru-run (uh) I'm the typa girl that everybody type Double tap-tap-tap what everybody like You can check my stat's, got everybody's eye And I run them laps 'round everybody's mind All of these girls on some uppercase shit That mean they all cap Being the best at whatever I do That's sounding on brand Typa girl that you wish for when you blow that candle out Typa girl that you wanna take back to your mama house Typa girl that don't ask for what she wants, she's takin' out Typa girl who got bag in same quality as Chanel Now you know that you were cold 'cause you felt my fire Heaven's gate just opened up, hearing choirs If you saying something else, you a liar 'Cause I'm that girl that drive you crazy, but you can't leave me alone Got you thinking, maybe I went supernatural Put you under spells or look into a crystal ball I'm not like these other girls at all I'm the typa girl that make you forget that you got a type Type that make you love me when the only thing you done is like- I'm that typa girl, I'm that typa girl I'm that typa girl, I'm that typa girl Like du-du-dun, du-ru-ru-run Like du-du-dun, du-ru-ru-run",0
12,My Universe,BTS,"You (You), you are (you are) My University and I (I) Just Want (Just Want) to put you put and you (you), you are (you are) My University, and II love and look up at you when the Morning Comes, I watch you rise there's a paradise they the countnn't bright infinity INSIDE YOUR EYES Flying to you every night (a)-Ending Forever, Baby you (you), you are (you are) My University and I (I) Just Want (Just Want) to put you put and you (you), you are (you are) my universe and you makeMy World Light Up Inside  Darkness was more comfortable for me (Eyes) and the way that we could be cans of the together beCause, beCause we come from different sides you (You)And I (I) Just Want (Just Want) To Put You First and You (You), You are (You Are) My University and You Make My World(doo-doo, doo-doo) My University (doo-doo, doo-doo) (you make my world) You make my world light upWorld Light Up Inside is the star of you that you are loved by you.We'll have a long night with you, fly with you, when I'm without you, I'm crazy.You Are (You Are) My University and I (I) Just Want (Just Want) to put you know you (you)You Are) My University (I Just Want) My University (You, You are My University, and I) My University",0
13,Boy With Luv (feat. Halsey),BTS,"Oh-whoa, oh-whoa, oh-whoa, oh-woa, oh oh-woa, oh-woa, oh-whoa, oh-woa, oh oh-woa, oh-woa, oh-whoa, oh-whoa,Oh oh-whoa, oh-whoa, oh-whoa, oh-whoa, oh everything is curious, How's your day?OH, tel me (oh, yeah, oh, yeah, eye, yeah, Ah, yeah) What makes you happy?Oh, text me (oh, yeah, oh, yeah, oh, yeah, oh, yeah) Your every picture, I want to be on my head, oh, bae come be my teaMy, My Baby I'm flying in that sky, and now it's too high with the two wings you gave me now., My, My've Waited all my life I want to join all four OH, my, my, my, Oh, my, my, my Looking for some now.-whoa, oh-whoa, oh I want something Stronger (I want it) oh-whoa, oh-whoa, oh-woa, oh-whoa, oh than a momentOH-whoa, oh-whoa, oh I have waited longer oh-woa, oh-woa, oh-whoa, oh-woa, oh for a boy with, for a boy with loveMy life is all you, yah (yah), yah (yah) minor stars (oh, yeah) to one to ten (AYY, AYY) Everything is special (AYY) Your concern and small habits of small habitsUntil AYY (hope world), I was too small (oh, no) I said (oh, no) I said I was not destined (OH, No)I'll keep you by with with Listen my, myBaby I'm flying in that sky, and now it's too high with the two wings you gave me.MY You Got Me High Fast I want to join you all of you OH, my, my, my, my, my, my, my, my you got me fly so far now.Oh-whoa, oh love is nothing Stronger (I want it) oh-whoa, oh-woa, oh-woa, oh-whoa, oh (oh) with l love oh-woa, oh-woa, Oh-whoa, oh-whoa, oh love is nothing stronger oh-woa, oh-woa, oh-woa, oh-whoa, oh (than a boy with)I went in this, SKY, which was high, I prayed for a growing Hall, but your wounds were pledged when I realized my wounds (Yeah) to you, not the wings of Icarus (UH), but Let, let, letME FLY OH, My, My, My, OH, My, My, My've Waited all my lifeLooking for something right (something right) Now I know a little bit, oh-whoa, oh-whoa, oh-woa, oh-woa, oh I want some (I want it) oh-whoa, oh-whoa, oh Than a moment, Than aMoment, Love oh-woa, oh-whoa, oh-whoa, oh-woa, oh love is nothing Stronger oh-woa, oh-woa, oh-woa, oh-woa, oh (than a boy with)With Love",0
14,HOT,SEVENTEEN,"All of them look at us (look) Wagons on the sun (continuously OH) UH, Juicy, Juicy, UH, Juicy, and Juicy gunshots, and then shoot the sun (I just Wanna do?) UH, JUICY, JUICY music sounds loudly Turn up (OOH, OOH) The world of OOH, OOH (OOH, OOH) is rushed back and trampled, and what are you going to follow?(What are you going to follow?) Say Ah (more hot, hot, hot) in our way (more hot) The day sky without night seems to be one in the world of red (as if it's one).Walk tomorrow to the sun of overheating VIBE (follow go) We'll be drop it likes hot, hot, hot (Oh, now Feelin 'so hot)-Boom-Boom) We have Drop it like hot, hot, hot (oh, now, now 'so hot) yeah, I'm runnin' Too Hot, Hot, Hot, Hot (Boom-Broom-Boom)Putting towards the fire (boom-brr-boom-boom) Tighten the sun. This song is hot.My shadow, which was back toward the sun to walk everything at the moment, becomes a light again, yeah, the chest is so hot that we will be sure that we will burst.AYY, you know what to do, hey, you know what to do we have draw it likes hot, hot, hot (Oh, now, now, now 'so)-Boom-Boom) We have Drop it like hot, hot, hot (oh, now, now 'so hot) yeah, I'm runnin' too hot, hot, hot, hot (boom-bro-boom) deep forestOn the deep sea, the sun rushes and we go beyond the Fire limits.Birds we'll go up high and become the sun AW!We have drop it like hot, hot, hot (oh, Feelin 'so hot) This song burrin's like hot, hot, hot, hot, hot (boom-bro-boom)(Oh, now Feelin's so hot) Yeah, I'm Runnin 'Too Hot, Hot, Hot, Hot, Hot (Boom-Broom-Boom) The sun is very hotTurn it towards the fire, this song EVERYBODY",0
15,TOMBOY,(G)I-DLE,"Ah-Ah-Ah-Ah-Ah Yeah, I'm Tomboy Look at You (You)Look at my toe, my EX name tattoo I got to drink up now, good even if you don't like (Ah) Why are you cranky, Boy?What are you so frown?Do you want a blond barbie doll?It's not here, I'm not a doll (i-dle 'til you can) say it's crazy, what's the loss to me?YEAH I can't hurt my body, such as you'll lose to me, yeah love. Your rotten nostalgia, I'm a fu-tomboy (uh-uh-uh-uh-uh, Ah-ah-ah-ah-ah-AH) this is my attitude yeah, I'm the tomboy (s.y.) I don't wantna play this ping-pong I would be a tiktok you as a prince but what is Queend?I like dancing, I love my friend sometimesTo say crazy, what's the loss to me?Yeah, chew, you like you like to me, yeah love, I can't get a drop of tears in my eyes.UH-UH, Ah-Ah-Ah-Ah-Ah (UH-UH-UH-UH-UH) Yeah, I'm the TomboyAH-AH) this is my attitude Yeah, I'll be the Tomboy say you get it?UH, You Get the Song Right You'll Get What I Mean ""Tomboy"" La, La-La-La, La-La, La-La-La-La-La, La-La-La, La-La-LA (You Ready? Yeah) La, La-La, La-La, La-La-La-La-La-La, La-La, La-La (Three, Two, One) It's' NeitherMan Nor Woman, Man Nor Woman It's Neither Man Nor Woman (Just Me, I-DLE) It's Neither Man Nor Woman",0
16,Permission to Dance,BTS,"It's the thought of being young When your heart's just like a drum Beating louder with no way to guard it When it all seems like it's wrong Just sing along to Elton John And to that feeling, we're just getting started When the nights get colder And the rhythms got you falling behind Just dream about that moment When you look yourself right in the eye, eye, eye Then you say I wanna dance, the music's got me going Ain't nothing that can stop how we move, yeah Let's break our plans and live just like we're golden And roll in like we're dancing fools We don't need to worry 'Cause when we fall, we know how to land Don't need to talk the talk, just walk the walk tonight 'Cause we don't need permission to dance There's always something that's standing in the way But if you don't let it faze ya, you'll know just how to break Just keep the right vibe, yeah, 'cause there's no looking back There ain't no one to prove, we don't got this on lock, yeah The wait is over The time is now, so let's do it right Yeah, we'll keep going And stay up until we see the sunrise And we'll say I wanna dance, the music's got me going Ain't nothing that can stop how we move, yeah Let's break our plans and live just like we're golden And roll in like we're dancing fools We don't need to worry 'Cause when we fall, we know how to land Don't need to talk the talk, just walk the walk tonight 'Cause we don't need permission to dance Da-na-na-na-na-na-na, da-na-na-na-na-na-na Da-na-na-na-na-na-na No, we don't need permission to dance Da-na-na-na-na-na-na, da-na-na-na-na-na-na Da-na-na-na-na-na-na Well, let me show ya That we can keep the fire alive, mmm 'Cause it's not over Till it's over, say it one more time, say I wanna dance, the music's got me going (the music's got me going) Ain't nothing that can stop how we move, yeah (hey) Let's break our plans and live just like we're golden And roll in like we're dancing fools (like we're dancing fools) We don't need to worry 'Cause when we fall, we know how to land (we know how to land) Don't need to talk the talk, just walk the walk tonight 'Cause we don't need permission to dance",0
17,Shut Down,BLACKPINK,"BLACKPINK in your area, eh-oh BLACKPINK in your area, eh-oh It's not a comeback, it's not a comeback, because you've never left, heads turn, calm down, break your neck Pink ice drip, drip, drip, freeze 'em on sight Shut it down, what-what-what-what? It's not a game, because you've never lost, bark, because the leash around your neck is mine, the pedal that touches the ground, we go two-zero-five Shut it down, uh-uh-uh-uh Make it rain green, over your head, don't trip, baby just sit modestly, just sit, baby Praying for my downfall, many have tried, baby Catch me when you hear my Lamborghini Go, vroom-vroom-vroom-vroom When we pull up, you know it's a shutdown Shutdown Whip it, whip it, whip it, whip it Whip it, whip it, whip it, whip it It's black, and it's pink once the sun down When we pull up, you know it's a shutdown Shut down the sign and lock the door shut down Whip it, whip it, whip it, whip it Whip it, whip it, whip it, whip it Keep watching me shut you down Nah, you don't wanna be on my bad side That's right, I'm slidin' through Bunch of wannabes that wanna be me Me three if I was you Been around the world, pearls on ya, girl VVS's we invested, uh Need a lesson, see the necklace, see these dresses We don't buy it, we request it , uh A rock star, a pop star, but rowdier Say bye to the paparazzi Get my good side, I'll smile for ya Know i t ain't fair to ya, it's scarin' ya like what now? BLACKPINK in your area, the area been shut down It's a shutdown Yes, it's the next answer sheet, look straight ahead, don't sleep, baby Turn it over, it's a price tag ain't cheap, baby Stay in your own lane 'cause I'm 'bout to swerve Catch me when you hear my Lamborghini Go, vroom-vroom-vroom-vroom When we pull up, you know it's a shutdown Shut down Whip it, whip it, whip it, whip it Whip it, whip it, whip it, whip it it's black, and it's pink once the sun down When we pull up, you know it's a shutdown shut down whip it, whip it, whip it, whip it whip it, whip it , whip it, whip it Keep watching me shut you down ♪ Shut it down (eh-oh), BLACKPINK in your area Shut it down (eh-oh), what-what-what-what? Shut it down (eh-oh), BLACKPINK in your area Keep talking, we shut you down",0
18,Pink Venom,BLACKPINK,"BLACKPINK BLACKPINK BLACKPINK BLACKPINK Kick in the door, waving the coco' Don't even think about grabbing popcorn and snuggle in I talk that talk, runways I walk-walk Close your eyes, pop-pop, pretend not to see One by one, then two by two Falling apart at one point It was splendid for a fake show It's beautiful enough to put a fire to rest (I bring the pain like) This that pink venom, this that pink venom This that pink venom (get 'em, get 'em, get 'em) Straight to ya dome like whoa-whoa-whoa Straight to ya dome like ah-ah-ah Taste that pink venom, taste that pink venom Taste that pink venom (get 'em, get 'em, get 'em) Straight to ya dome like whoa-whoa-whoa Straight to ya dome like ah-ah-ah Black paint and ammo', got bodies like Rambo Rest in peace, please, light up a candle This the life of a vandal, masked up, and I'm still in CELINE Designer crimes, or it wouldn't be me, ooh! Diamonds shining, drive in silence, I don't mind it, I'm riding Flying private side by side with the pilot up in the sky And I'm wyling, styling on them and there's no chance 'Cause we got bodies on bodies like this a slow dance Now, tonight, I'm a poisonous flower After stealing your soul, look what you made us do, the fire that will slowly put you to sleep It's beautiful enough to be cruel (I bring the pain like) This that pink venom, this that pink venom This that pink venom (get 'em, get 'em, get 'em) Straight to ya dome like whoa-whoa-whoa Straight to ya dome like ah-ah-ah Taste that pink venom, taste that pink venom Taste that pink venom (get 'em, get 'em, get 'em) Straight to ya dome like whoa-whoa-whoa Straight to ya dome like ah-ah-ah if you want to provoke us I can't handle it and you know this shot that has already spread The pink ocean before your eyes Come and give me all the smoke or not like I'm so rock and roll Come and give me all the smoke Line up everything, now, stop, drop (I bring the pain like) Ratatata, Tratatata Ratatata, Tratatata Ratatata, Tratatata Straight to ya, straight to ya, straight to ya dome like ratatata, tra I bring the pain like-",0
19,Hard to Love,BLACKPINK,"Ain't no magic tool to fix it You should keep your distance I'm only telling you because I care 'Cause I'm hard to love, find it hard to trust When it feels too good, I just fuck it up You want all of me, I can't give that much So don't fall too hard, 'cause I'm hard to love (Yeah-hey, yeah) I'm hard to love Yeah-hey (hard to love) Never meant to cause you a problem Here I am, yet once again with the same old story You don't see the issues, I got 'em Yeah, I do (yeah, I do) yeah, it's true (yeah, it's true) I'll make it feel like Heaven, but I swear I'm not a saint And you won't see the truth 'causе I'll be kissing it away Yeah, I'll be all you need until I'm driving you insanе Baby, all I'm tryna do is save you the pain 'Cause I'm hard to love, find it hard to trust When it feels too good, I just fuck it up You want all of me, I can't give that much So don't fall too hard 'cause I'm hard to love  (Yeah-hey, yeah) I'm hard to love Yeah-hey (hard to love) Up 'til I'm down, I'm all in 'til I'm out Got a lot to work out 'til it's all behind me You know you don't play with fire in the dark Protect your heart, ain't no goin' back once you start I'm tryna be nice (Yeah-hey, yeah) I'm hard to love Yeah-hey (hard to love)",0
20,BOOMBAYAH,BLACKPINK,"Blackpink in Your Area Blackpink in Your Area Been A BEEN A BEEN, I KNOW I am So Hot, I Need a Fan I Do Want a Boy, I need a man click-clack, badda-bing, badda--If you don't try to look at me all the boom doors, all men don't try to make a kopeyfangfangfangfangpanparafara Pangfang, and salty hands up, in my hand, Bottle Full O 'HennyDancing lights are wrapped in me, black to the pink, anywhere special, OH, yes or not, I wantna dance like, followed by, followed by Dada, Duddu Group Baou, I like this atmosphere, I like you nowI wanted to dance tonight, I want to dance with you, Boombayaya, Boombayaya, Boombaya, Ya, Ya, Ya, Ya, Ya Boomba, Boomba (Brother!)-Loo) Ya, Yaya, Yayaya, Yaya (brother!), Yaya, Yaya, Yaya, Yaya, Yaya, Yaya, Boom Boomba, Boombaya Blackpink in Your AreaUH, what do you have to run now?I'm not scared, Man Midde Finger Up, F-U, Pay Me 90's Baby, I PUMP UP The JAM Run, Run, Run, Brother, Lambo 'Today, don't stop me and my youth.I'm gonna go, brrr, rambo your hands surround my waist and my body is special, my body is special, oh, yes your eyes, I know you wanna touch like, toch, touc, toch, touchI like this atmosphere, I like this atmosphere, I really like you, I really want to dance with you tonight  Boombayaya, Boombayaya, Boombaya, Ya, Ya, Ya, Boom Boomba (BoombaBrother!) Hey, Yaya, Yaya, Yaya, Yaya, Yaya, Yaya, Yaya (brother!)Loo) Ya, Yaya, Yaya, Boomba, Boombaya Today I want to run up beyond the sky (Loo-Loo-Loo-Loo)Let's go, OOH, Let's Go, OOH Today I want to go up beyond the sky (Loo-Loo-Loo-Loo) I want to run quickly, let's go, OOH, OOH, OOH, OOH,Let's Go, OOH",0
21,The Feels,TWICE,"Boy, I, boy, I, boy, I know I know you got the feels Boy, I, boy, I, boy, I know Uh, I'm so curious 'Bout you, boy, wanna keep it cool But I know every time you move, got me frozen I get so shy, it's obvious (get ya) Catching feels like butterflies If I say what's on my mind Would I hit bullseye? (Woo) Shoot, I'm ready, aim and fire (fire) Baby, I (whoa-oh, ow!) Feel like cupid's alive Alive tonight ('night), yeah, tonight If your heart beats the same way, let me know (you let me know) 'Cause I'm boom-boom-boom from head to toe, and I (yeah, head to toe) I know, love, it is such a funny thing A mystery allure, gotta get to know you more 'Cause I, I can feel a real connection A supernatural attraction-ah I got the feels for you, yeah, yeah, yeah, yeah You have stolen my heart, oh, yeah Never let it go, oh, oh, no Never let it go, oh, oh, oh Lightning straight to my heart, oh, yeah I got all the feels for sure Yeah, I got all the feels for ya, oh Boy, I, boy, I, boy, I know I know I got the feels Boy, I, boy, I, boy, I know I know you feel it too (uh, uh) Sway in the moonlight, dance in the dark I know that I caught your eye (your eye) Are we on the same vibe? (Same vibe) I wonder what's on your mind 'Cause you got me good and I wanna be ya boo If it's dumb, well, I wanna be a fool (fool, fool, fool) Underneath the neon lights, baby Electricity tonight, baby I know love it is such a funny thing A mystery allure, gotta get to know you more 'Cause I, I can feel a real connection A supernatural attraction-ah I got the feels for you, yeah, yeah, yeah, yeah You have stolen my heart, oh, yeah (oh, yeah) Never let it go, oh, oh, no Never let it go, oh, oh, oh Lightning straight to my heart, oh, yeah I got all the feels for sure Yeah, I got all the feels for ya, oh Boy, I, boy, I, boy, I know I know I get the feels Boy, I, boy, I, boy, I know I know you feel it too Boy, I, boy, I, boy, I know I know I get the feels Boy, I, boy, I, boy, I know I know you feel it too (feel it too) You got my attention, so what's your intention? Yeah, tell me, baby, what's the deal? Oh, one look and I know it, baby, my eyes reveal That you, you, you give me the feels, oh, yeah You have stolen my heart, oh, yeah Never let it go, oh, oh, no (no-no) Never let it go, oh, oh, oh (no-no) Lightning straight to my heart, oh, yeah I got all the feels for sure Yeah, I got all the feels for ya, oh Boy, I, boy, I, boy, I know (the feels) I know I got the feels (boy, I) Boy, I, boy, I, boy, I know (yeah, yeah, yeah) I know you feel it too (yeah, you are) Boy, I, boy, I, boy, I know (boy, I) I know I got the feels (one more) Boy, I, boy, I, boy, I know I know you feel it too (yeah)",0
22,How You Like That,BLACKPINK,"Blackpink in Your Area collapsed as if it were sang, and even though I reached out to the ground to get to the basement, I looked at the light up up the sky to see you.So now, one, two, three ha, How you like that?You Gon 'like that, that-tit-that, that-that-hat-ht How you like that?(Bada-Bing, Bada-Boom-Boom-Boom) How You Like That, That-That-Hat, That-That-THAT-THAT?Now Look at You, Now Look at Me, look at you, now look at me look at youNow Look at You, Now Look at Me, look at you, now look at me look at youYour Girl Need All and That 's out of a hundred of the hundred, I want my share Karma come and get someI'm right back (Right Back) Trigger Cock Back (Cock Back) Plain Jane Get Hijacked, Don't Like Me?THEN TELL ME How You Like That, Like That The STARS smiles with the smile, I'll kiss you guodbye.You Gon 'like that, that-tit-that, that-that-hat-ht How you like that?(Bada-Bing, Bada-Boom-Boom-Boom) How You Like That, That-That-Hat, That-That-THAT-THAT?Now Look at You, Now Look at Me, look at you, now look at me look at youNow Look at You, Now Look at Me, look at you, now look at me look at youBy the day you were trapped in a dark day on the day when you lost your wings, you had to finish me.-EH Blackpink!Tutu Tudu Dudu, How you like that?)Dudu",0
23,As If It's Your Last,BLACKPINK,"Little bit of that little bit of that little bit of that Gimme- (Gimme Little Bit of That) What do you keep thinking about?(Gimme Little Bit of this) Pride injury child's face is hot and his chest keeps jumping and his body is not caught.You're not easy, so I can't do my heart more likely, so I feel my breath that I want you now?Even if you are looking at you, Missing You Surely Day, WON'T You set me free?Baby, stop hugging me as if it's going to burst me, what's so hard?Kiss like a lie. As I was the last love for you, as in the last night, as in the last night, like the last night, like the last night, like the end of the love, as like Ma-Ma-Mah-as the end of the day, uh, I'm ama fall in love, baby you gon'FINNA CATCH ME UH, Give You All of this, Baby Call Me Pretty and Nasty' Cause We Gonna Get, My Love, You can Bet on Black We Gon 'Double the Stack on ThemBe My Clyde We Ride or Die, X's and O's time passes, but my heart is in a hurry.Baby, stop hugging me as if it's going to burst me, what's so hard?Kiss like a lie, as if it's the last love for you, as if it's the last night like Ma-Ma-Last night, like the last night, like the last night, like Ma-Ma-Mah-as the end of the day, love one, two, three, new beginning.I won't look back, so if you throw it to you, you will be able to grab me, the world will not be able to break us, so Blackpink in your area (blackpink in your area) babyLike the last night, as in the end, as in the last night, like the last night, like the end of the love, like Ma-Ma-Mah-as Tomorrow, LOVE, like",0
24,I CAN'T STOP ME,TWICE,"Ufufu-Uhufu-Hufuhu rings, and every time you get into the eye, ring-a-ring, you know and get closer to you.I'm warning to myself, you can't do it every time, every time my heart overtakes my heart and Out of Control (ha!) I can see the end of the spot, spot, and spotlight.It's not right I can stop me, Can't stop me (No, Whoa, WHOA, Ha!) This red, red, red line in front of me and I already want to make eye contact with you across the side.T Stop me, Can't Stop me (No, WHOA, WHOA) Wufufufufufufufufufufufufufufufufufufuhofufuhofuhofuhofuhofohoo) Just once no rules (ah-ah) Pretending to pretend I can't stand LIGHTS Off Tonight Losing MySelf (Yeah, yeah) Now it's impossible to turning back.I think I can't go back again when I close my eyes out of control (OOH, yeah, ha!) That spot, spot, spot, and spotlights that monitor me.Stop me, Can't Stop me (No, WHOA, WHOA, Ha!) This red, red, red line (Red Line) is placed in front of me and I already want to feel the excitement highlight (I Can't StopME, yeah) I can not stop me, carStop me (No, Whoa, Whoa) Risky, Risky, Wiggy Crisis This is an Emergency Help Me, Help Me, Somebody Stop Me 'Cause I Know I Can't Stop Me Answer.I think I have another (Ah-Ah) I don't want (Ah-Ah) Guilty I don't like I can stop me, Can't stop me, cans't stop me (OH, ha!)SPOT, Spot, SPOTLIGHT (OH) The more you shift into the darkness (OH, OH), you can see the end of I know it's not rightWhoa, Whoa, Ha!) This red, red, red line (oh, oh) in front of me, you and I already want to make eye contact with you (OOH, OOH, OOH, OOH, OOH)I Can't Stop Me, Can't Stop Me (No, WHOA, WHOA, YEAH, YEAH, YEAH) Wufufufufufufufufufufufufufufufu I cansStop Me, Can't Stop Me (No, WHOA, WHOA)",0
25,What is Love,TWICE,"TWICE!What is love?Every day, I feel love in the books and in the books and in the dramas every day, and I learn UM love.?What kind of person is it?(I WANNA KNOW) It's as sweet as candy (I WANNA KNOW) I seem to be flying in the sky.I Wanna Know (I WANNA KNOW) I laugh all day (I Wanna Know) The world is beautiful.I think love will come to me someday, but I think my heart will burst even if I think of this imagination, but UM is good.When are you?What kind of person is it?(I WANNA KNOW) It's as sweet as candy (I WANNA KNOW) I seem to be flying in the sky.I Wanna Know (I WANNA KNOW) I laugh all day (I Wanna Know) The world is beautiful.Someday, I love you, where I live in the world now, and when and when I will meet with me, and how will our relationship will begin, but I feel really good.Come on, I'm ready to be ready where I'm ready (I'm going to find it) Where are you going to die (I'll die) I can't stand it anymore, so it's sweet like candy.know what is love?I'm laughing all day, but the world is beautiful all day.Someday love will come to me someday I Wanna Know I Wanna Know (What is Love?) I Wanna Know, Know, Know, Know(I Wanna Know, I Wanna Know What is LoveI WANNA KNOW",0
