,NO,song,group,lyrics
107,15,I'll Make You Cry,Aespa,nah nah think youre cool think walking life like worries swear love makes blind hey hey hey hey okay yo may may may may whatever hey hey hey hey wont get time trying coldhearted cant endure dont forget foreign feeling time spent become unfamiliar waste time im warning listen carefully emotions come back even swallowing ah ah got go n e turn im sick tired accept must hurt bonе dont expect mercy ill make cry ill make cry youre wandering around youve become corrupt pulled knife pulled knife save one save youre kicked laugh see nah nah games played quietly breathe dont get along anyone youre trapped room goes perfectly along hey lost forever dont understand love lie hypnotized guess little crazy back worried hard make believe feel im feeling n e fun im sick tired become boring trying run away dont expect dramatic ending ill make cry ill make cry youre wandering around youve become corrupt pulled knife pulled knife save one save youre kicked laugh see nah nah thought didnt ya nah time feel alive even love hurt dont care everyday facing pain unconsciousness made believe hallucinations broken fly way ill make cry ill ill make cry ill make cry youre wandering around youve become corrupt pulled knife pulled knife save one save youre kicked laugh see hey yeah ha nah nah look front even time come uh
108,1,After LIKE,Ive,knows mind might change like weather even dont know nananananana doesnt matter matters im right nananananana like dream definitely cant explain must love try doubt said beyond like whats like like l im yeahyeah yeah ii like like like blue flame bloomed hearts itll hotter sun nanananana wan na go wan na go graph dips low high yeah thats yeah thats thrice dont ask know strength im honest try doubt said beyond like whats like like l im yeahyeah yeah yeah yeah ii like whats like like like strike heart thrill feel like tike lo space one stop us see wont even waste blink nice finally meet goes love like like e v im yeah ii like like like like like l im yeahyeah yeah ii like like like like like like
109,4,Royal,Ive,royal moment lift feet vibe focused woah woah yeah familiar want dont hide feel eyes eyes eyes unshakeable head toe want show everything like want view world one shines brighter anyone else know im royal royal diamonds gold like royal royal thats walk unhesitantly even footstep makes proud know im royal royal diamonds gold single gesture expression let know know know know know show way walk eyes im royal everyone ask like hold dont hesitate show loyal show kind thing thats royal honest means dont need hide gaze onlet em know name moment focus whats important always unshakeable head toe want show everything like want view world one shines brighter anyone else know im royal royal diamonds gold like royal royal thats walk unhesitantly even footsteps make proud know im royal royal diamonds gold single gesture expression let know know know know know show always want shine im dazzling star moment march proudly ooh one stop hoo know im royal royal diamonds gold like royal roya lthats walk unhesitantly even footsteps make proud know im royal royal diamonds gold single gesture expression let know know know know know show huh one huh two youre vibin know feels like divin huh one huh two like shine show like diamond royal pose thats royal boss thats royal know know know know know show
110,7,Take It,Ive,take take take take yeah take take oh yeah yeah yeah yeah take take hesitating baby picky picky stuffy nerd baby baby take take routine pushed pulled baby fun dont need im sassy sassy curious serious worry hurry picky picky clumsy calculations take take pretend youre boring sometimes panic panic uh cliché eyes sharp gestures although look cute cant approach easily take take take take take stupid stupid keep toxic toxic everyone wants cant come easily picky picky picky picky picky suddenly get twisted heyayaya get heyayaya might surprised hidden claws keep bothering heyayaya curious serious worry hurry picky picky clumsy calculations way pretend youre boring sometimes panic panic uh cliché eyes sharp gestures although look cute cant approach easily take take take take take stupid stupid keep toxic toxic everyone wants cant come easily picky picky picky picky picky pretty cat stretch hand possessed got wrong im going ride like kid stop oohlala pretend youre boring sometimes panic panic uh cliché dont know jump oh eyes sharp gestures eyes look cute cant approach easily take take yeah take take stupid stupid take take take take keep toxic toxic toxic toxic toxic toxic everyone wants cant come easily picky picky picky picky picky
111,1,Shut Down,BLACKPINK,r blackpink area a its comeback since we have never left heads turning careful strain neck pink ice drip drip drip freeze sight shut what game since we have never lost leash neck mine flooring gas pedal go two zero five shut uh uh uh uh make rain trip baby humble sit baby praying downfall many tried baby catch hear lamborghini go vroom vroom vroom vroom pull know its shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it black its pink sun down pull know its shutdown pull shutter lock door shut down whip whip whip whip whip whip whip whip it keep watching shut down nah wan na bad side right slidin through bunch wannabes wan na three you around world pearls ya girl vvs s invested uh need lesson see necklace see dresses buy request uh rockstar popstar rowdier say bye paparazzi get good side ll smile ya know aint fair ya scarin ya like now blackpink area area shut down shutdown looking next answer key sleep baby flip price tag aint cheap baby stay lane swerve catch hear lamborghini go vroom vroom vroom vroom a0 pull know it92s shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it black it92s pink sun down pull know shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it keep watching shut down shut blackpink area shut woah woah woah woah shut blackpink area keep talking shut
112,2,Pink Venom,BLACKPINK,door waving coco eat popcorn think cutting in talk talk runways walk walk eyes closed pop pop need look one one two two everything collapses flick fingertip quite fancy fake show makes sense get dollar outta me tonight  flower venom taking soul look made us do fire slowly put sleep beautiful brutal bring pain like pink venom pink venom pink venom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah taste pink venom taste pink venom taste pink venom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah black paint ammo got bodies like rambo rest peace please light candle da life vandal masked still celine designer crimes me diamonds drive silence mind private side side da pilot sky wildin stylin chance cuz got bodies bodies like slow tonight flower venom taking soul look made us do fire slowly put sleep beautiful brutal bring pain like pink venom pink venom pink venom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah a0 taste pink venom taste pink venom taste pink venom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah provoke us like handle know this already spread shot potion pink ocean right eyes come give smoke nothing like rock roll come give smoke line stop drop bring pain like la tatata la tatata la tatata la tatata la tatata la tatata straight ya straight ya straight ya dome like la tatata la tatata la tatata la tatata la tatata la tatata bring pain like
113,3,Lovesick Girls,BLACKPINK,lovesick girls lovesick girls night love trapped us windowless room love say long love even though hurts every time love hurt break dont know whats keeping hold leave anyway ill hate pained state cant end weve waiting agony moment looking aimlessly dont care ill need life lovеsick girls cant end love arе lovesick girls im nothing without pain born alone yeah born alone yeah born alone still looking love love letters x os love never exes know diamond rings set stone left better left alone wan na princess im priceless prince even list love drug quit doctor could help im lovesick moment looking aimlessly anxious gaze youre need even hurts lovesick girls cant end love lovesick girls im nothing without pain born alone yeah born alone yeah born alone still looking love slippin fallin love killin darlin fearless thrill returns pain subsides hear say im happy pain pity pity pitying lovesick girls cant end love lovesick girls im nothing without pain one two lovesick girls eventually leaves lovesick girls become numb crying lovesick girls lovesick girls still looking love
114,4,As If It's Your Last,BLACKPINK,make keep thinking pride bruised burning up face hot heart keeps racing control body getting dizzy like fistful sand like hold easy want more can92t control heart ridiculous feel breath wanting right now even  looking missing you bad set free baby hold till explode stop thinking hard kiss like lie last love last last last night love last last  tomorrow uh imma fall love baby finna catch me uh give baby call pretty nasty cause gon na get it love bet on black gon double stack whoa bonnie and clyde ride die xs os time ticking getting impatient world missing you bad set free baby hold till explode stop thinking hard kiss like lie last love last  last last night love last last tomorrow one two three new beginning 91cause ever look back throw you please catch me world bring us down blackpink area baby hold till explode stop thinking hard kiss like lie last love lastmlast last night love last last tomorrow love
115,5,How You Like That,BLACKPINK,area eyes fell below hitting rock bottom sinking deep grab s left hands begging something reach dark place imma light sky look eyes ll kiss goodbyec laugh want cause s almost time ready 3 2 1cb1 ho how like gon like like badabing badaboomboomboom like look look look look look look like look look look look melook look like girl need all s hundred 10 10 want got karma come get some might feel bad gon bout s m right back pull trigger cocked back plain jane get highjacked nt like tell like like though m still shine like stars smile ll kiss goodbye laugh want cause s almost time ready 3 2 1cb1 ho like gon like like badabing badaboomboomboom like look look look look me look look like look look look look me look look like day fell wings sky days trapped dark searching lightknown got running life look sky its bird s plane bring boss bitch blackpinkck du du du du du du du du du du du like ddududududududududududoo gon like du du du du du du du du du du like ddududududududududududoo
116,6,Playing With Fire,BLACKPINK,mom says baby careful boys hurt let love like playing fire bound get hurt eh even true control love look heart beats fast burn up bad really feel want love eh stop way make feel let us together let world look look now burning like fire burn aroundcb1 play fire burn down love fire burn baby burn burn down love fire play boy burn down oh deep m trapped inside world kept playing game anymore love like fire burning flames mind makeem bigger want good bad control want robbed took heart maybe told ya come pour oil inside heart burning rhythm kiss diss know miss might burning but break crack heart red black stop way make feel let us together cause want love burn look look now burning like fire burn around play fire burn down love fire burn baby burn burn down love fire play boyl burn down control heat inside control fire burning inside baby burn love up stop let us burn tonight oh
117,7,Ready For Love,BLACKPINK,thing fills head today you get head color bottle drained night blue yeah know many times thrown away heart train thought running nonstop keeping night eah need yeah need call me yeah although need still like you t need wait now need afraid show color heart really need world open eyes front you ready love tell ready cuz already ready tell ready cuz ready love ready love ready love ready love ready love ready come running like never never know want love supposed romeo hope roses notes read keep eyes closed see need forever forever baby sometimes want best come find cuz ready need wait now need afraid show color heart a0 really need world open eyes front you ready love tell ready cuz already ready tell ready cuz ready love ready love ready love ready love ready love spirit everything you make ecstatic make smile nothing bad it throw me protect you lalala lalalala lalala lalalala lalala lalalala lalala lalalala
118,8,Forever Young,BLACKPINK,leave stay could stop this time once eh tonight could die moment forever young forever young forever young forever young appearance eyes feels like first time met flames fire without sound feel like first kiss ever gave moonlight heart beating let s go dance undermilky way let s go right let go lets regrets let s let time break us apart let s make moment eternal light fire heart make youth  fire without regrets stay like right tonight could die moment forever young forever young forever young forever young every every night night sing sing song know got bomb bomb come come again forever young boy ride die till tomorrow ride sunset side side pinked murdered like nothing need nothing heroes say life s bitch well mine s movie like diamond ll shine together whenever wherever forever ever ever thrillingly dangerously go end world let s go right let go lets regrets let s let time break us apart let s make moment eternal light fire heart make youth on fire without regrets stay like right tonight could die momentcb1 forever youngcb1 moon risescb1 like dance bodycb1 lets ride end like partycb1 moon rises like dance body lets ride end like party girls wan na fun go dumb dumb dumb girls wan na fun want want want girls wan na fun go dumb dumb dumb girls wan na fun aint done done done whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bumcb1 whatta bum bum whatta bum bum
119,9,Ddu-Du Ddu-Du,BLACKPINK,ah yeah ay yeah blackpink ah yeah ay yeah got cute face bet looking pretty fragile attitude twice size ll meet battle ll come around knock look prepare damage black pink watch pretty savage keep lit like matchstick bitch m star patrick m getting cake s fact check hands full dem fat checks expectations higher like fish water  little m toxic fallen m foxy ll think twice hard fake act nice please get wrong see smiling s playing along m cut wan na test seeing right ve picked something easy oh wait til92 hit ddudu ddudu ducb1 ah yeah ay yeah hit ddudu ddudu ducb1 ah yeah ay yeah cb1 blackpink m getting money hundred gq s spread like hummus bullshit birds coming ima say shit man run drop like got hot track wan na knock got another banger real talk ima let s talk see billions better call banker ll think twice s hard fake act nice please get wrong see smiling s playing along cut to wan na test seeing right picked something easy oh wait hit ddudu ddudu du ah yeah ah yeah hit ddudu ddudu du ah yeah ah yeah ddudu ddudu du gon na come come with uh uhhuh gon na come come with uh uhhuh hot hot hot like fire dudududu hot hot hot like fire dudududu blackpink hey ah yeah ay yeah ah yeah ay yeah hot hot hot like fire hot hot hot like fire hit ddudu ddudu du
120,11,Kill This Love,BLACKPINK,yeah yeah blackpink area yeah yeah yeah heavenly hi always infernal bye crazy high price pay answer test always fall yes slave emotions screw heartless lovecome kick door give strongest thing have typical typical love give give more hanging edge cliff one word smiling like silly warm nervous feeling bright red fluttering felt like heaven but might get look look gon na hurt smart are cry tears blood eyes sorry are stand weak force cover eyes need cut oxygen love kill love yeah yeah yeah rum pum pum pum pum pum pum kill love yeah yeah yeah rum pum pum pum pum pum pum a0 feelinlike sinner fire go boo hoo said look crazy thank baby owe you got messed up love favorite plus sadly dangerous lucky lucky you end lie what erase you sorry sorry stand weak force cover eyes need cut oxygen love kill love yeah yeah yeah rum pum pum pum pum pum pum let s kill love yeah yeah yeah rum pum pum pum pum pum pum commit love makes cry making love kills inside must kill love yeah sad true got kill love kills too kill love yeah sad true got kill love got kill kill love
121,12,Stay,BLACKPINK,know show boy still ca nt let go everyday die little inside think us long time ago always though that one day d leave one got away want stay now sitting next went away oh woke tears face laughed silliness woah wanted you m perfect girl even stay stay stay oh remind beautiful kills day day way left felony really want hate days get longer nights get darker please go away heart beats faster pray little harder please choose stay even ask re one take hand stay goes little something like lalalalalala lalalalalala lalalalalalacb1 lalalalalala lalalalalala lalalalalalacb1 nt even ask one take hand stay said wanted stay always leaving never tell never tell s reason re gone tell heart s even beating sometimes think live breathe stayknow tired night gets dark fire world full lies truth you letter oh remind melody beautiful kills day day way left felony really want hate cant days get longer nights get darker please go away heart beats faster pray little harder please choose stay even ask why re one take hand stay goes little something lalalalalala lalalalalala lalalalalalacb1 lalalalalala lalalalalala lalalalalalacb1 even ask onetake handstay goes little something lalalalalala lalalalalala lalalalalalacb1 lalalalalala lalalalalala lalalalalala even ask why one take hand stay
122,13,Typa Girl,BLACKPINK,girl thatll make wan na dream girl came straight screen screen wan na iceu2005up make freeze ha ha girl youu2005wanna wife sign pre bring money table dinner body bank account good figure thinking theres nothing consider let circle winner know cold til felt fire heavens gate opened hearing choirs saying something else liar im girl drive crazy cant leave alone got thinking maybe went supernatural spells look crystal ball im like girls typa girl make forget got type type make love thing done like typa girl im typa girl im typa girl im typa girl dududun dulululun like dududun dulululun type girl everybody type double tap tap tap everybody like check stats got everybodys eye run laps round everybodys mind girls uppercase shit mean cap best whatever thats sounding brand girl wish blow candle girl wan na take back mama house girl dont ask wants shes takin girl got bag quality chanel know cold cause felt fire heavens gate opened hearing choirs saying something else liar im girl drive crazy cant leave alone got thinking maybe went supernatural spells look crystal ball im like girls type girl make forget got type type make love thing done like typa girl im typa girl im typa girl im typa girl dududun dulululun like dududun dulululun
123,14,Pretty Savage,BLACKPINK,uhhuh uhhuh uhhuh rrr blackpink area uhhuh uhhuh blackpink area uhhuh uhhuh think alike well opposite inside put something buy born skinny bish weight matter model math kinda slow sense follow fame money said enough getting tired f boys boys therefore problem forget hit you ddu du ddu du got drip drip ice bust top bottom oh ohohoh black pinkmake lit oh ohohoh bitches manage finish handle pretty savage pretty harmful savage ooh bahdahbahbah better run run run ooh bahdahbahbah buctter run run run diamonds yellow bright white got em blind cant find m outta sight mad stay mad alike savage keep pretty pretty savage wore better 1 i92m 1000 come outta nowhere watch rolling carpet black pink however want issue jealousy maybe problem oh ohohoh black pink make rain likeoh ohohoh bitches manage finish handle pretty savage pretty harmful savage ooh bahdahbahbah better run run run ooh bahdahbahbah buctter run run run diamonds yellow bright white got em blind cant find m outta sight mad stay mad alike savage keep it pretty pretty savage pretty girl biggest smile weak wish would wind blowing yeah flying higher got nothing left say want show attitude even say loud know savage watch watch pretty savage pretty pretty pretty pretty savage watch watch pretty savage pretty pretty pretty pretty
124,15,Boombayah,BLACKPINK,blackpink area blackpink area bad girl know hot need fan want boy need man clickclack badda bing badda boom muneul bakchamyeon modu nal barabom gudi aesseo noryeok haedo modeun namjadeuleun kopiga pangpangpang pangpang parapara pangpangpang jigeum nal wihan chukbaereul jjanjjanjjan hands nae sonen bottle full henny nega malloman deuddeon gyaega naya jennie chumchuneun bulbicheun nal gamssago done black pink eodiseodeun teukbyeolhae oh yes chyeoda bodeun maldeun wan na dance like ttaradaradanttan ttaradaradanttan ttudurubbau joha bunwigiga joha joha nan jigeum nega joha jeongmal banhaesseo oneul bam neowa chumchugo sipeo boombayah yah yah yah boombayah yah yah yah boombayah yah yah yah yah boom boom ba boom boom ba 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah boom boom ba boombayah blackpink area ije dallyeoyaji mwol eotteokhae nan cheol eobseo geob eobseo man middle finger f u pay 90s baby pump jam dallyeobwa dallyeobwa oppaya lambo oneuleun neowa na jeolmeumeul gamble gamhi nal makjima hoksina nuga nal makado gon na go brrrr rambo e soni nae heorireul gamssago done front back nae mommaeneun teukbyeolhae oh yes ne nunbicheun know wan na touch like touch touch touch touch ttudurubbau joha bunwigiga joha joha nan jigeum nega joha jeongmal meosisseo oneul bam neowa chumchugo sipeo boombayah yah yah yah boombayah yah yah yah boombayah yah yah yah yah boom boom ba boom boom ba 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah boom boom ba boombayah oneuleun maen jeongsin ttawin beorigo haneuleul neomeoseo olla gal geoya kkeuteul moreuge ppalli dalligo sipeo let go let go oneuleun maen jeongsin ttawin beorigo haneuleul neomeoseo olla gal geoya kkeuteul moreuge ppalli dalligo sipeo let go let go
125,16,Hard to Love,BLACKPINK,magic tool fix keep distance im telling care im hard love find hard trust feels good fuck want cant give much dont fall hard cause im hard love hard love yeah meant cause problem yet old story dont see issues got em yeah yeah true make feel like heaven swear im saint wont see truth cause ill kissing away ill need im driving insane baby im trying save pain im hard love find hard trust feels good fuck want cant give much dont fall hard cause im hard love hard love yeah till im im till im got lot work till behind know dont fire dark protect heart aint going back start im trying nice hard love yeah
126,17,Don't Know What To Do,BLACKPINK,someone stop time bit feel like big mistake happened tried laugh awkwardly pity myself know without you left alone trivial place picture memories blue people change like this pretty day like this everything difficult know do know without you know without you know without you know know do know do like people came went guess meant be wondering phone might ring hate anticipating uselessly tick tock clock is especially bothering men might seem totally fine know without you wonder feelings shown mirror lips drawn blue comfortable alone like that pretty day like this everything difficult know do know without you know without you know without you know know do know without you say fine but know without you left alone trivial place picture memories blue
127,18,Whistle,BLACKPINK,make em whistle like missile bomb bomb every time show blow uh make em whistle like missile bomb bomb every time show blow uh boy re beautiful forget allre giving insanity heart pounding boom boom 24 365 want right side day night want mine ooh ooh m girl every guy would check keep coming tell get out got eyes baby asking much want love heart attention touch sick sick chic chic baby hot hot oh boy got going insane calls ringing ears whistle now let go say goodbye oh know won92t forget forget love heart burning like fire yes heart beating fast go love do hwiparam uh hwi param param param hear hwi parapara para bam hwiparamcb1 uh hwi param param paramcb1 hwi parapara para bam hold say thing word whistle heart cause everything making heart go boom boom decide feel shh every day day want zoom zoom uh yeah always stylin always cool chill darlin heating up like desert island get know fall love come take come play game oh boy checkmate win check get taken anybody else let happen uh let go t say goodbye oh know forget forget love whoa heart burning like fire yes heart beating fast go love do hwiparam uh hwi param param param hear hwi parapara para bam hwiparamcb1 uh hwi param param param hear hwi parapara para bam beat got feeling like hoping hoping like breeze pass need words say come take side m ohh make em whistle like missile bomb bomb every time show blow uh
128,19,The Happiest Girl,BLACKPINK,hold hand beg back say make beautiful doors slammed plates smashed echo sound madness remember try heart wants moment say tonight happiest girl world see like matter tonight happiest girl world see like never happened stop tears want stop tears want stop tears want tonight happiest girl world see like never happened make us saints wards pain past perfect picture one else blame time change truth undo high chase steal crash one gets cry heart wants moment say tonight happiest girl world see like matter tonight happiest girl world see like never happened stop tears want stop tears want stop tears want tonight happiest girl world see like never happened takes smooth pop bottle top fix heart broken heart baby takes little rolling paper take us start go back start tonight happiest girl world see like matter tonight happiest girl world see like never happened stop tears want stop tears want stop tears want tonight happiest girl world see like never happened
129,20,Tally,BLACKPINK,say fuck feel cause one s keepin tally want like ai nt gon conceal talkin shit ll gettin mine gettin mine nt apologize behavior re offended nt care starin stead starin mirror little weird everybody tells play nice everybody judge looking twice body nt belong nahuhuh none though m gon na change cause say say fuck feel cause one s keepin tally want like ai nt gon conceal talkin shit ll gettin mine gettin mine yeah say fuck feel cause one s keepin tally want like ai nt gon conceal ll like boys say m gettin mine gettin mine told play cool break rules m breakin hearts two warned make rules play fool ai nt hard choose take apart s donts lose wonts m gettin mine mines mine mine mine get line sometimes like go play dirty like fuck boys s choice s one m hurtin s girly everybody tells play nice everybody judge looking twice body nt belong nahuhuh none though m gon na change cause say say fuck feel cause one s keepin tally want like ai nt gon conceal talkin shit ll gettin mine gettin mine yeah say fuck feel cause one s keepin tally want like ai nt gon conceal ll like boys say m gettin mine gettin mine yeah say fuck feel ai nt gon conceal
130,1,Still Life,Bigbang,sunset next year blooming spring midsummer night dream feeling fall winter snow four times year spring comes goodbye beloved young days beautiful spring summer fall winter four season reason rain instead sadness comes happy end sevencolored rainbow slanted like sneer passed seasons without maturing mature still immature long gone without maturing marchin vivaldi tchaikovsky greeting seasons today finally four last boy looking sky well throughout four seasons goodbye left came world head leaving inspiration amazon burying trauma past nights roundtrip ship running risking life start anew going change good person better person morning dew burying anger past life away away away miss boy girl cried laughed keep remembering glorious loving days seasons pass hopelessly days go going hearts staining red bruising blue day moment come someday beautiful spring summer fall winter la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la sunset next year blooming spring midsummer night dream feeling fall winter snow spring summer fall winter
131,2,Lies,Bigbang,yeah love pain dedicated brokenhearted people ones old flame scream name im sick love songs yeah hate damn love songs momento lie late night rain falling bring back memories promised would fine without cant help take liquor dont even know handle trying fill empty heart day without long pray may please forget thats lie without happiness found cant even shed tears dont want live anymore yeah bullshit pissing im going crazy thoughts want see im told cant ill right im sorry love lies didnt know realized need im sorry love gave scars never let go waste im sorry love lies im sorry im sorry love love im sorry love leave forget slowly get hurt dedicated song sung people probably dont know without anyone knowing yeah words said lies ive left alone keep roaming within loneliness note break crumpled pocket hey habit calling im gon na change ill laugh everything im sorry love lies didnt know realized need im sorry love gave scars never let go waste im sorry love lies im sorry im sorry love love im sorry love leave forget slowly get hurt oh oh oh oh oh hope dream oh oh oh oh oh add much drop babe still cant forget dont think ever even til day die yeah scars gave heal im sorry never got anything im sorry love lies didnt know realized need im sorry love gave scars never let go waste im sorry love lies im sorry im sorry love love im sorry love leave forget slowly get hurt
132,3,Last Dance,Bigbang,love thought would last forever set even friends leaving getting older guess becoming adult anxious people linger past today world goes around fine even without still young still immature fool times happy even without anything seems like yesterday came far remember anymore everything first time clumsy filled butterflies memories times still like dream going right sing song go back could see beautiful listen song last dance remember moment always one last dance became faint light stars became star beckon seem lonely alone tears coming times happy even without anything seems like yesterday came far remember anymore everything first time clumsy filled butterflies memories times still like dream going right sing song go back could see beautiful listen song last dance remember moment always one last dance music keeps playing waiting right please give chance please promise take long sing song sing song go back could see beautiful listen song last dance remember moment always one last dance held hand danced last night brightly shining beautiful one last smile red orange yellow green mysterious scene ecstasy like world seen felt held hand danced last night brightly shining beautiful one last smile red orange yellow green mysterious scene ecstasy like world seen felt
133,4,Always (song),Bigbang,first day couldnt keep eyes time stopped new love even like awkward expressions hope youll friend hope youll lover dont scared ill let go hand yeah yeah yeah im staring even moment important thats got ta know girl heart blue want hug like sky dark windy rain blows dont worry oh oh oh youre always heart want give youre sad tired hold tight ah ah ah ah days fight thats everyone might even hurt happy smile stained tears many problems try separate us say im hard time dont scared yeah yeah yeah im side get hardship thats got ta know always girl ye heart blue want hug like sky dark windy rain blows dont worry oh oh oh youre always heart want give youre sad tired hold tight ah ah ah ah baby swear sky us two like needle thread push shove back forth trust cherish love wipe tears rains eyes fill bright smiles go back cause love way back wan na know yo meetings seperation heartbreak thats goes time leave one knows im different like need follow dont need words love enough blue ocean burning sun arms thats sweet heart blue want hug like sky dark windy rain blows dont worry oh oh oh youre always heart want give youre sad tired hold tight ah ah ah ah
134,5,Bang Bang Bang,Bigbang,awake black night everyone come turn next unpredictable crazy guerilla bow worship till voice explodes switch loser atmosphere hide insanity dignity men pretense women interesting see kind unknown confidence showing shamelessly dig body like allergy swarming around strange mind today place lawless set place fire burn heart wan na make go crazy big yea bang like everyone together like shot bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang top gd nobody move nobody move nobody move nobody move let see end night see end let see end night bang bang bang take away right red sky dances spinning spinning place valhalla give praise spread louder go hard night watchmen run night space magic song apex fun sing wonder loud screams devilish melodies connection black poison around get high release reins whoo set place fire burn heart wan na make go crazy big yea bang like everyone together like shot bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang top gd nobody move nobody move nobody move nobody move let see end night see end let see end night bang bang bang ready yea give ready yea give let go guys go top girls get low pull trigger bang bang bang let bass drum go guys go top girls get low pull trigger bang bang bang let bass drum go bang bang bang bang bang bang let bass drum go bang bang bang bang bang bang let bass drum go
135,6,Flower Road,Bigbang,good back even though lonely sad times went sing na na na sing na na na last time us please let meet flowers bloom sometimes many weird things happen like meeting bad guy like ever love think unconsciously walking along wherever became single ray light brightly shining feel shivers pretty flower road able stand roly poly toy going leave shall let go shall scatter flowers path take miss come back love go flower road take rest wait place good back even though lonely sad times went cried lot lot things laugh inside head many memories shall pass let meet next time flowers bloom one year 365 days one world savior gave motive music leaned big flower garden came still remember clearly padam padam flower full bloom 100000 infinite great ring like vivaldi four seasons still picture even place heart doubting eyes magical queen going leave shall let go shall scatter flowers path take miss come back love go flower road take rest wait place pick flower kiss faces growing red make flower road prepare come miss come back love go flower road take rest wait place pick flower kiss faces growing red make flower road prepare wait place
136,7,Last Farewell,Bigbang,yes big bang back definitely incredible hey move b g bang bang b g bang bang b g bang bang love dont wan na without girl wish last farewell near today entire day dont wan na without girl clumsy heart please hug go love need girl baby baby baby although little awkward baby baby baby still loving baby baby baby even though frightening even though end seen theres girl filled pain treated cruelly stroked soothingly changing avoided worry wondering went wrong wandering inside problem answer even wanderer lost path enclosed inside maze cant able wait asking come muffled steps girl like first met like still new like like like like like like never leave side dont wan na without girl wish last farewell near today entire day dont wan na without girl clumsy heart please hug go love need girl baby baby baby although little awkward baby baby baby still loving baby baby baby even though frightening even though end seen theres girl didnt contact leaving without single word without single word one day suddenly appeared asking playing around really love even single day get confused twelve times love asked return would want toy going play twice sweet taste short moment cotton candy melted easily seems like also wont able block weary heart anymore grab quickly leave dont wan na without girl wish last farewell near today entire day dont wan na without girl clumsy heart please hug go love need girl baby baby baby although little awkward baby baby baby still loving baby baby baby even though frightening even though end seen theres girl although still love although youre important ye nobody take place know know oh please hug quietly dont wan na without girl wish last farewell near today entire day dont wan na without girl clumsy heart please hug go love need girl baby baby baby although little awkward baby baby baby still loving baby baby baby even though frightening even though end seen theres girl b g bang bang b g bang bang b g bang bang come come come come b g bang bang b g bang bang even though end seen theres girl love
137,8,Blue,Bigbang,winter passed spring come withered hearts bruised longing singing blues used blue tears blue sorrow singing blues love sent away floating clouds oh oh sky different places dangerous leaving one letter difference nim cowardly hiding good enough cruel breakup like end road love words comfort perhaps lifetime last melodrama final curtain coming born met loved death cold heart dyed blue even eyes closed feel winter passed spring come withered hearts bruised longing singing blues used blue tears blue sorrow singing blues love sent away floating clouds oh oh feel like heart stopped beating frozen war trauma carved head tears dry moistly remember love neither painful lonely happiness selftalk stand something complicated big deal care inevitable wandering people come go born met loved death cold heart dyed blue even left still winter passed spring come withered hearts bruised longing tonight underneath blue moonlight probably fall asleep alone even dreams look wander around singing song singing blues used blue tears blue sorrow singing blues love sent away floating clouds oh oh singing blues used blue tears blue sorrow singing blues love sent away floating clouds oh oh
138,9,Fantastic Baby,Bigbang,come together everyone gather gon party like lilililalala open hearts empty minds set fire lilililalala ask answer take go flow alright face sky put two hands high wan na jump around oh nanananana nanananana wow fantastic baby dance wan na dan dan dan dan dance fantastic baby dance wan na dan dan dan dan dance wow fantastic baby crazy house hey end king turn hey ground shaking 3 minutes enough race wait atmosphere overheated huh catch fire huh real appeared nanana one ten everything one level even crazily run sand still agile sky blue enough ask questions feel feel jump sound heartbeat till comes end yeah baby stop go corrupt today let go wow fantastic baby dance wan na dan dan dan dan dance fantastic baby dance wan na dan dan dan dan dance wow fantastic baby boom shakalaka boom shakalaka boom shakalaka dan dan dan dan dance boom shakalaka boom shakalaka boom shakalaka dan dan dan dan catch forever performer constraints tonight mama let lover past chaos nananana head toes visual shock people know senses always ahead footsteps faster others youth different dimension ice ice ice hold nananana jump sound heartbeat till comes end yeah baby stop go corrupt today let go wow fantastic baby dance wan na dan dan dan dan dance fantastic baby dance wan na dan dan dan dan dance wow fantastic baby boom shakalaka boom shakalaka boom shakalaka dan dan dan dan dance boom shakalaka boom shakalaka boom shakalaka dan dan dan dan let play together yeah yeah yeah let jump together yeah yeah yeah let go crazy together yeah yeah yeah let go together wow fantastic baby
